datetime,timestamp,open,high,low,close,volume
2025-06-27 00:00:00,1750982400000,2.1053,2.1115,2.0782,2.1053,18996408.5
2025-06-27 04:00:00,1750996800000,2.1053,2.114,2.0821,2.0851,18379704.0
2025-06-27 08:00:00,1751011200000,2.0851,2.1061,2.0847,2.0909,16533399.8
2025-06-27 12:00:00,1751025600000,2.0909,2.1016,2.0671,2.0979,24674703.2
2025-06-27 16:00:00,1751040000000,2.0979,2.1225,2.0712,2.0939,18235291.5
2025-06-27 20:00:00,1751054400000,2.0939,2.1556,2.093,2.1419,23757493.3
2025-06-28 00:00:00,1751068800000,2.142,2.1914,2.1336,2.1847,20136145.9
2025-06-28 04:00:00,1751083200000,2.1848,2.201,2.1755,2.1906,16489740.1
2025-06-28 08:00:00,1751097600000,2.1905,2.1938,2.1803,2.1927,8841227.0
2025-06-28 12:00:00,1751112000000,2.1927,2.2066,2.1825,2.2038,9971373.5
2025-06-28 16:00:00,1751126400000,2.2038,2.2079,2.1846,2.1861,8540468.5
2025-06-28 20:00:00,1751140800000,2.186,2.1895,2.1772,2.1854,6063824.0
2025-06-29 00:00:00,1751155200000,2.1855,2.1897,2.1754,2.1839,4591768.7
2025-06-29 04:00:00,1751169600000,2.1839,2.1894,2.1808,2.1843,3193315.9
2025-06-29 08:00:00,1751184000000,2.1844,2.198,2.1838,2.1959,8300596.3
2025-06-29 12:00:00,1751198400000,2.1958,2.197,2.1802,2.1833,6838887.4
2025-06-29 16:00:00,1751212800000,2.1833,2.195,2.1805,2.1886,4635664.5
2025-06-29 20:00:00,1751227200000,2.1886,2.2198,2.1786,2.2061,18537664.7
2025-06-30 00:00:00,1751241600000,2.2062,2.2117,2.195,2.1962,10011718.9
2025-06-30 04:00:00,1751256000000,2.1962,2.1964,2.1713,2.1868,15041719.0
2025-06-30 08:00:00,1751270400000,2.1868,2.1891,2.1692,2.1781,9412359.3
2025-06-30 12:00:00,1751284800000,2.178,2.1998,2.165,2.1928,17717994.5
2025-06-30 16:00:00,1751299200000,2.1927,2.3271,2.1905,2.3197,55332563.7
2025-06-30 20:00:00,1751313600000,2.3198,2.3254,2.234,2.2362,44009550.8
2025-07-01 00:00:00,1751328000000,2.2362,2.2537,2.2239,2.2373,19486211.1
2025-07-01 04:00:00,1751342400000,2.2373,2.2373,2.2058,2.2242,20536599.3
2025-07-01 08:00:00,1751356800000,2.2241,2.2271,2.1924,2.202,14122903.7
2025-07-01 12:00:00,1751371200000,2.2021,2.2104,2.1754,2.1885,29948356.4
